,Customer Type,Type of Travel,Class,satisfaction,Flight Distance,Inflight entertainment,Baggage handling,Arrival Delay in Minutes
152,2,2,2,1,1035,5,4,0.0
153,1,2,3,1,237,2,2,0.0
154,1,2,2,2,3175,5,5,0.0
155,1,1,3,1,760,1,4,27.0
156,1,1,3,1,853,4,5,122.0
157,2,2,3,1,446,5,4,0.0
158,1,2,2,2,1071,3,3,0.0
159,1,1,3,1,728,3,3,3.0
160,1,2,2,2,2585,4,4,0.0
161,1,2,2,2,707,3,3,11.0
162,2,2,3,2,861,2,5,0.0
163,1,1,3,1,719,4,4,0.0
164,1,2,2,2,1790,5,5,0.0
165,1,2,1,2,680,5,5,27.0
166,2,2,3,1,888,5,3,30.0
167,1,1,3,1,1660,3,2,2.0
168,1,2,3,2,578,1,4,179.0
169,1,2,3,2,606,5,2,15.0
170,1,2,2,2,1487,4,4,0.0
171,1,2,2,2,317,4,4,0.0
172,1,1,3,1,844,4,4,1.0
173,1,2,2,2,3747,4,4,20.0
174,1,2,2,2,2748,3,4,0.0
175,1,2,2,1,1503,3,3,0.0
176,1,2,2,2,1717,4,4,0.0
177,2,2,2,1,1117,3,4,7.0
178,1,2,2,2,1372,5,4,125.0
179,1,2,2,1,2768,4,4,0.0
180,1,2,3,2,370,5,5,0.0
181,1,1,3,1,1546,1,1,26.0
182,1,1,3,1,1023,4,1,0.0
183,1,2,2,2,3636,4,4,0.0
184,1,1,3,1,1325,1,4,9.0
185,1,1,3,1,2556,5,5,0.0
186,1,2,2,2,1052,4,4,0.0
187,1,2,3,1,773,3,4,26.0
188,1,1,2,1,817,1,5,0.0
189,1,1,3,2,516,1,4,0.0
190,1,1,3,1,447,2,5,19.0
191,1,1,3,1,462,2,2,0.0
192,1,2,3,1,361,1,3,0.0
193,1,1,3,1,125,2,3,4.0
194,1,1,3,2,271,2,4,0.0
195,1,1,3,1,173,2,4,0.0
196,1,2,2,2,1950,4,4,0.0
197,1,1,3,1,719,3,3,17.0
198,1,2,2,1,153,2,3,0.0
199,1,1,2,1,337,1,2,18.0
200,1,2,2,2,3732,5,5,0.0
201,1,2,2,2,3854,5,5,0.0
202,1,2,3,1,977,2,3,17.0
203,1,2,2,2,3073,5,1,3.0
204,1,1,3,1,1379,2,4,0.0
205,1,2,3,1,631,2,4,8.0
206,1,1,3,1,666,4,5,0.0
207,1,2,2,2,2820,5,5,0.0
208,1,1,3,1,577,1,1,2.0
209,1,2,2,1,2808,3,4,2.0
210,1,2,2,2,2172,4,4,0.0
211,1,1,3,1,1192,1,2,0.0
212,1,2,2,1,1773,2,2,0.0
214,1,1,3,1,1749,3,4,89.0
215,1,2,2,2,3753,4,4,0.0
216,1,1,3,1,214,2,5,34.0
217,1,1,3,1,1020,1,3,0.0
218,1,2,1,2,368,4,2,0.0
219,1,1,1,1,1448,4,4,4.0
220,1,1,3,1,1127,3,4,0.0
221,1,1,3,1,545,5,3,0.0
222,1,2,2,2,3238,4,4,0.0
223,1,1,3,1,2466,1,5,0.0
224,1,1,3,1,2715,4,3,0.0
225,1,2,2,2,337,4,4,0.0
226,1,1,3,1,1608,5,5,0.0
227,1,2,2,1,3004,2,3,0.0
228,2,2,2,1,980,3,5,6.0
229,2,2,3,1,1462,3,1,0.0
230,1,2,2,2,1521,5,5,0.0
231,1,2,2,2,862,5,1,5.0
232,1,2,2,2,1833,4,4,0.0
233,1,2,2,1,2398,2,2,9.0
234,2,2,2,1,349,4,4,28.0
235,1,2,2,2,1722,4,4,0.0
236,1,1,3,1,578,3,3,101.0
237,1,1,1,1,163,1,4,11.0
238,1,1,3,1,395,3,3,0.0
239,2,2,3,2,416,4,5,4.0
240,1,2,3,1,977,3,3,0.0
241,1,2,2,2,3095,5,4,0.0
242,1,2,2,1,738,4,4,3.0
243,1,1,3,1,719,1,3,14.0
244,1,1,2,1,226,4,4,20.0
245,1,2,2,2,1943,5,5,0.0
246,1,2,2,2,2371,4,4,61.0
247,1,2,2,1,551,3,3,48.0
248,1,2,1,2,493,4,2,6.0
249,2,2,3,1,925,5,5,3.0
250,1,1,3,1,405,1,4,0.0
251,2,2,3,1,1055,4,4,0.0
252,1,2,3,1,305,4,3,0.0
253,1,2,2,2,589,5,5,11.0
254,1,2,2,2,1587,4,4,0.0
255,1,2,2,1,3090,2,2,0.0
256,2,2,3,1,804,4,4,0.0
257,1,1,3,1,719,1,4,0.0
258,1,2,1,1,67,3,3,18.0
259,1,2,3,2,550,4,3,0.0
260,1,2,2,2,2809,5,4,28.0
261,1,1,3,1,552,5,5,0.0
262,2,2,2,1,356,4,5,0.0
263,1,1,2,1,119,4,4,32.0
264,1,2,2,2,1545,5,5,0.0
265,1,2,3,1,819,4,3,6.0
266,1,2,2,1,1801,2,2,0.0
267,1,2,2,2,1658,5,3,6.0
268,2,2,2,2,114,4,5,13.0
269,1,2,3,2,128,5,5,16.0
270,1,2,2,2,813,3,3,0.0
271,1,1,3,1,349,2,2,0.0
272,1,2,2,1,1508,3,3,15.0
273,1,1,3,1,89,5,4,0.0
274,1,1,3,1,157,5,3,33.0
275,1,2,2,2,2828,3,3,41.0
276,1,2,2,2,3131,5,4,0.0
277,1,2,3,2,718,5,5,0.0
278,1,2,2,2,1959,4,5,191.0
279,1,2,2,2,3496,5,5,2.0
280,1,2,2,1,2300,4,4,37.0
281,1,1,3,1,2845,1,2,1.0
282,2,2,3,1,406,5,1,138.0
283,1,1,3,1,580,4,5,13.0
284,1,2,3,1,735,1,1,4.0
285,1,2,2,1,1722,2,3,53.0
286,1,1,1,1,1201,3,1,14.0
287,2,2,2,2,372,4,5,0.0
288,1,1,3,1,1072,1,1,7.0
289,1,2,3,1,733,4,3,22.0
290,1,2,1,1,1075,2,4,0.0
291,1,1,3,1,2586,2,3,57.0
292,2,2,2,2,140,4,4,7.0
293,2,2,1,1,903,1,3,28.0
294,1,2,2,2,2423,4,4,0.0
295,1,2,2,2,3130,5,5,65.0
296,1,2,2,2,2198,4,4,4.0
297,1,2,1,1,602,2,4,44.0
298,1,1,3,2,685,4,5,0.0
299,1,2,3,2,1208,4,2,0.0
300,1,2,2,2,2789,4,4,0.0
301,1,2,2,2,3305,4,4,0.0
302,1,1,3,1,2342,5,3,0.0
303,1,2,2,2,3712,4,4,0.0
304,1,1,3,1,1431,1,1,76.0
305,2,2,3,1,255,2,3,107.0
306,1,2,2,1,3720,2,3,12.0
307,1,2,3,2,1107,4,4,0.0
308,1,2,2,2,2999,4,5,11.0
309,1,2,2,2,2438,2,5,28.0
310,2,2,2,1,156,4,5,0.0
311,1,2,2,2,3665,4,4,92.0
312,1,2,2,2,2917,3,4,32.0
313,1,2,2,2,1235,5,5,0.0
314,1,1,1,1,549,2,4,0.0
315,1,2,2,2,1500,5,4,0.0
316,2,2,3,1,190,1,4,0.0
317,2,2,2,2,468,4,4,0.0
318,1,1,3,1,261,1,3,0.0
319,2,2,2,2,255,2,5,0.0
320,1,2,2,1,1609,3,3,8.0
321,1,2,2,2,413,5,5,2.0
322,1,1,3,1,119,5,3,0.0
323,1,1,3,1,387,1,3,12.0
324,1,2,2,2,1087,5,4,0.0
325,1,1,3,1,323,2,4,7.0
326,1,1,3,1,282,5,5,16.0
327,1,2,2,2,1721,4,4,0.0
328,2,2,3,1,347,5,4,0.0
329,1,2,2,1,3465,2,3,0.0
330,1,1,3,1,948,4,4,0.0
331,1,2,2,2,1707,5,5,0.0
332,1,1,1,1,1372,1,3,0.0
333,2,2,2,2,369,1,4,0.0
334,1,1,3,1,552,3,2,11.0
335,1,2,3,1,1188,1,4,13.0
336,1,2,3,1,1005,5,4,1.0
337,1,2,2,1,1870,2,2,0.0
338,1,2,3,2,896,2,2,8.0
339,1,1,3,1,429,3,4,0.0
340,1,2,2,1,1796,1,3,164.0
341,2,2,3,1,842,5,3,28.0
342,2,2,2,1,1107,1,3,0.0
343,2,2,2,1,327,5,5,0.0
344,1,1,2,1,432,3,2,0.0
345,2,2,3,2,577,5,4,0.0
346,1,2,2,1,1877,2,2,0.0
347,1,2,2,2,1123,5,5,5.0
348,1,2,2,2,1749,5,5,5.0
349,1,2,2,2,2454,3,3,24.0
350,1,1,3,1,270,4,4,0.0
351,1,2,2,2,1825,5,5,0.0
352,2,2,1,1,191,4,4,34.0
353,1,2,2,2,679,5,5,6.0
354,1,2,2,2,812,2,2,3.0
355,1,2,3,2,1056,5,4,9.0
356,1,2,2,1,101,2,3,0.0
357,1,1,3,1,73,1,1,32.0
358,1,1,3,2,936,4,5,22.0
359,1,2,3,1,287,5,2,8.0
360,1,1,3,1,255,3,4,0.0
361,2,2,3,2,317,5,2,5.0
362,1,2,2,2,2027,4,4,2.0
363,1,2,2,2,936,3,3,0.0
364,1,2,3,2,432,4,3,5.0
365,1,2,2,2,888,4,4,0.0
366,1,1,3,2,1061,5,5,0.0
367,1,2,2,2,216,5,5,0.0
368,1,2,2,2,1814,5,5,0.0
369,1,2,2,2,2993,4,4,6.0
370,1,2,2,2,2632,3,3,0.0
371,1,2,2,2,199,5,4,0.0
372,1,1,3,1,802,4,3,5.0
373,1,2,2,2,581,4,4,0.0
374,1,2,2,2,1938,4,4,21.0
375,1,2,1,2,174,5,5,0.0
376,1,2,3,2,326,4,5,0.0
377,1,2,2,1,1821,2,2,7.0
378,1,1,3,1,1437,5,4,0.0
379,1,2,2,2,3995,5,5,0.0
380,1,2,2,1,1488,2,2,62.0
381,1,1,3,1,1892,1,4,0.0
382,2,2,2,1,502,5,4,52.0
383,1,2,2,2,2491,4,4,0.0
384,1,1,3,1,944,1,4,15.0
385,1,2,2,2,496,4,5,0.0
386,1,2,2,2,329,4,4,0.0
387,1,2,2,2,402,4,4,4.0
388,1,2,2,2,3946,4,4,0.0
389,1,2,2,2,337,4,4,40.0
390,1,2,2,2,2133,4,5,0.0
391,1,1,3,1,192,4,4,0.0
392,1,1,3,1,491,5,2,49.0
393,1,1,3,1,1120,2,4,3.0
394,1,1,3,1,1440,4,3,7.0
395,1,2,2,1,140,3,2,0.0
396,1,1,3,1,451,2,5,0.0
397,1,1,3,1,798,3,3,4.0
398,1,2,2,2,3607,5,5,0.0
399,1,1,3,1,1096,1,4,0.0
400,1,2,2,2,373,5,5,0.0
401,1,1,3,1,405,4,4,0.0
402,1,2,2,2,2542,5,1,55.0
403,1,2,1,2,907,4,4,1.0
404,2,2,3,1,1258,1,3,185.0
405,1,1,3,1,550,1,4,63.0
406,1,2,2,2,602,2,2,0.0
407,1,2,3,1,1399,2,2,0.0
408,1,2,2,2,3245,5,5,77.0
409,1,2,3,2,677,4,5,0.0
410,1,1,3,1,1616,1,4,89.0
411,1,2,2,2,1561,5,5,23.0
412,1,2,2,2,285,4,4,0.0
413,2,2,2,1,1189,3,5,0.0
414,2,2,3,2,1021,3,5,0.0
415,1,2,2,2,2442,4,4,86.0
416,1,2,2,1,918,1,1,5.0
417,2,2,2,1,545,5,5,2.0
418,1,2,2,1,459,4,4,5.0
419,1,1,1,1,804,1,5,0.0
420,2,2,2,2,569,3,4,91.0
421,1,2,2,2,3991,4,4,0.0
422,1,2,2,2,1620,5,5,0.0
423,1,2,2,1,1173,3,3,0.0
424,1,1,3,1,236,4,4,52.0
425,1,1,3,1,134,3,3,0.0
426,1,1,1,1,647,2,3,0.0
427,1,2,1,2,654,4,2,0.0
428,1,2,2,2,2623,5,5,0.0
429,1,2,2,1,209,2,4,100.0
430,1,2,2,2,257,4,4,0.0
431,1,2,2,2,1629,5,2,0.0
432,2,2,3,1,371,5,2,6.0
433,1,2,2,2,2201,2,3,0.0
434,1,1,3,1,836,1,1,54.0
435,1,2,2,2,3081,2,2,0.0
436,2,2,3,1,859,4,3,24.0
437,1,1,3,1,1055,2,2,17.0
438,2,2,3,1,399,5,3,0.0
439,1,2,3,1,632,3,4,40.0
440,1,2,2,2,3626,5,5,36.0
441,1,2,2,2,833,4,4,1.0
442,1,1,3,1,1288,4,4,24.0
443,1,2,2,1,2163,3,3,70.0
444,1,2,3,1,645,2,4,139.0
445,1,2,3,1,515,3,3,33.0
446,1,2,2,1,3767,2,1,92.0
447,2,1,3,2,888,4,4,0.0
448,2,2,2,2,288,4,4,0.0
449,2,2,2,1,1024,5,4,14.0
450,1,2,2,2,3185,5,5,0.0
451,1,2,2,2,2974,4,4,67.0
452,1,2,2,2,2981,5,5,0.0
453,2,2,3,1,1428,2,5,7.0
454,1,2,2,2,2454,5,5,0.0
455,1,2,2,2,3482,4,5,0.0
456,1,1,3,1,296,2,2,0.0
457,1,1,3,1,391,5,5,4.0
458,1,2,2,2,3744,5,4,163.0
459,1,2,2,1,1558,4,4,8.0
460,1,2,2,2,1389,5,5,0.0
461,1,1,3,1,1947,1,3,0.0
462,1,2,3,1,776,2,3,6.0
463,1,2,2,2,3536,4,5,0.0
464,2,2,2,1,414,3,5,0.0
465,1,2,2,2,3165,4,4,0.0
466,1,2,2,1,1600,0,2,0.0
467,1,2,2,2,3605,4,4,0.0
468,1,1,3,2,247,5,5,0.0
469,1,2,3,1,550,2,3,0.0
470,1,1,3,1,446,1,4,0.0
471,1,2,2,2,728,5,5,0.0
472,1,2,2,1,3692,2,2,52.0
473,1,2,2,2,3979,4,4,0.0
474,1,2,2,1,3546,2,2,21.0
475,1,2,2,2,177,5,3,128.0
476,1,2,2,2,760,3,3,0.0
477,1,2,3,2,2378,4,5,0.0
478,1,2,2,2,228,3,3,21.0
479,1,2,2,2,163,4,3,3.0
480,2,2,3,1,251,2,5,0.0
481,1,2,2,2,406,4,4,4.0
482,1,1,3,2,624,1,2,180.0
483,1,2,2,2,3764,4,4,3.0
484,1,2,3,1,696,2,2,1.0
485,1,1,3,1,746,2,2,37.0
486,1,2,2,1,2930,2,2,23.0
487,1,2,2,2,192,5,5,13.0
488,1,1,3,1,507,1,4,5.0
489,1,1,3,1,226,2,4,0.0
490,1,1,1,1,338,5,4,0.0
491,1,2,1,2,380,2,3,0.0
492,1,2,2,2,3144,5,5,0.0
493,1,2,2,1,3714,4,4,0.0
494,1,2,2,2,90,4,4,0.0
495,1,2,1,1,204,2,4,93.0
496,1,1,3,1,399,1,2,0.0
497,1,1,1,1,802,2,4,0.0
498,1,1,3,1,406,3,3,0.0
499,1,2,1,1,676,2,2,0.0
500,1,2,2,2,1476,5,4,8.0
501,1,2,2,2,3677,4,4,0.0
502,1,1,2,1,1034,5,3,121.0
503,1,1,2,1,1042,4,2,30.0
504,1,1,3,1,597,2,5,6.0
505,1,1,3,1,1635,4,5,4.0
506,1,1,1,1,2556,4,4,33.0
507,1,1,3,1,859,2,4,52.0
508,1,1,3,1,1236,5,5,9.0
509,2,2,3,1,192,1,3,0.0
510,1,2,3,2,649,4,4,17.0
511,1,2,2,2,936,4,1,7.0
512,1,1,3,1,484,4,4,0.0
513,1,1,3,1,2279,3,5,0.0
514,2,2,3,2,1444,4,4,2.0
515,2,2,2,2,1389,2,5,0.0
516,1,2,2,1,1846,1,1,0.0
517,1,2,2,2,1884,4,5,2.0
518,2,2,2,1,285,3,3,3.0
519,1,2,2,1,2256,1,1,6.0
520,1,1,3,1,2342,4,4,22.0
521,1,2,3,1,163,2,4,0.0
522,1,2,2,2,2502,4,4,0.0
523,1,2,3,1,337,4,3,17.0
524,1,2,2,2,261,4,4,0.0
525,1,2,2,2,332,4,4,0.0
526,2,2,3,1,707,3,3,9.0
527,1,1,3,1,888,1,4,0.0
528,1,1,3,1,301,4,2,0.0
529,1,2,3,1,130,2,3,26.0
530,1,2,2,2,3052,3,3,0.0
531,1,1,3,2,2405,3,3,0.0
532,2,2,3,1,2585,3,4,0.0
533,1,1,3,1,666,1,1,0.0
534,1,2,2,2,3239,4,4,0.0
535,1,2,2,2,2718,5,5,0.0
536,1,2,2,1,362,4,4,45.0
537,1,2,2,2,3545,5,5,51.0
538,2,2,3,1,813,3,4,105.0
539,1,2,2,2,1698,5,1,126.0
540,2,2,2,2,148,4,5,0.0
541,1,2,2,2,544,4,4,0.0
542,1,2,2,2,3011,5,5,56.0
543,1,2,3,2,783,5,1,0.0
544,2,2,2,2,255,3,4,0.0
545,1,1,3,1,140,4,3,31.0
546,1,2,1,2,809,4,2,100.0
547,1,2,2,2,2472,5,5,0.0
548,1,2,3,2,175,3,3,0.0
549,1,1,1,1,331,3,5,0.0
550,1,2,2,2,2243,2,2,18.0
551,2,2,3,1,1874,3,3,5.0
552,2,2,3,1,326,5,1,0.0
553,2,2,2,1,130,1,4,8.0
554,1,1,3,1,1158,4,4,0.0
555,1,2,2,1,2074,4,4,45.0
556,1,2,2,2,1635,2,2,27.0
557,1,2,2,2,1744,2,2,4.0
558,1,1,3,1,1703,4,1,40.0
559,1,1,3,1,883,1,3,19.0
560,1,2,2,2,1979,4,4,0.0
561,1,1,3,1,306,5,5,73.0
562,1,1,3,1,992,5,5,10.0
563,1,2,2,2,2077,5,5,0.0
564,1,2,2,2,3304,5,5,0.0
565,1,2,2,2,2274,5,5,0.0
566,1,2,2,2,1084,4,4,0.0
567,1,2,2,2,2335,4,4,0.0
568,1,2,2,2,1851,4,4,0.0
569,1,2,2,2,3960,5,4,1.0
570,2,2,3,1,1269,3,3,0.0
571,2,2,3,1,965,3,1,11.0
572,2,1,3,1,192,2,4,4.0
573,1,1,3,1,1728,1,3,24.0
574,1,1,3,1,541,1,4,0.0
575,1,2,2,2,1440,5,5,0.0
576,1,1,1,1,213,5,5,6.0
577,1,2,2,2,3496,5,5,0.0
578,1,1,3,1,325,1,4,5.0
579,2,2,3,1,491,5,3,11.0
580,1,2,2,2,253,5,5,0.0
581,1,2,3,2,1010,5,5,0.0
582,1,2,2,2,2899,3,5,212.0
583,1,2,2,2,2093,4,4,0.0
584,1,2,2,1,2295,1,1,14.0
585,1,1,3,1,1749,5,5,3.0
586,2,2,2,1,668,5,5,0.0
587,1,2,1,1,1384,3,3,126.0
588,1,2,3,2,326,3,3,0.0
589,1,2,2,2,2627,5,5,0.0
590,1,2,2,2,1644,5,5,0.0
591,2,2,3,1,813,2,3,0.0
592,2,2,2,1,200,2,5,8.0
593,1,2,2,2,304,5,5,27.0
594,1,2,3,2,373,5,2,0.0
595,1,1,3,1,1097,3,3,0.0
596,1,1,3,1,472,3,3,18.0
597,1,1,3,1,745,3,1,0.0
598,2,2,3,1,1394,3,4,3.0
599,1,1,3,1,607,3,4,88.0
600,1,2,1,2,67,4,1,4.0
601,1,1,3,1,1294,2,4,4.0
602,1,1,1,1,1208,2,4,0.0
603,2,2,3,1,107,3,4,241.0
604,2,2,2,1,235,4,5,30.0
605,1,1,3,2,1009,5,5,0.0
606,2,2,3,1,1303,3,3,0.0
607,1,2,2,2,628,4,4,51.0
608,1,1,3,2,1517,3,5,0.0
609,1,2,2,2,2836,5,4,0.0
610,1,2,2,2,1034,3,5,172.0
611,1,2,2,1,2350,3,3,0.0
612,2,2,3,1,529,4,4,15.0
613,2,2,2,2,483,5,5,0.0
614,2,2,3,1,480,3,4,4.0
615,1,1,3,2,2588,3,5,0.0
616,1,2,2,2,3396,5,5,0.0
617,2,2,2,1,384,2,4,6.0
618,1,2,2,1,1788,1,3,12.0
619,1,2,2,2,1506,4,4,175.0
620,1,2,1,2,427,4,4,23.0
621,2,2,3,1,1042,1,3,0.0
622,2,2,2,1,157,2,4,0.0
623,1,2,2,2,3349,4,4,0.0
624,2,2,3,1,160,1,3,44.0
625,1,2,2,2,1400,4,5,6.0
626,1,2,2,2,2027,4,4,111.0
627,1,2,2,2,1741,4,4,0.0
628,1,2,2,2,3092,4,4,16.0
629,2,2,2,2,386,4,5,0.0
630,1,2,2,2,2585,5,5,0.0
631,1,2,2,2,304,1,1,0.0
632,1,2,2,2,2835,4,4,0.0
633,1,1,3,1,859,4,4,88.0
634,1,2,2,1,3969,4,1,61.0
635,1,2,2,1,2402,4,4,0.0
636,1,1,3,2,925,1,3,3.0
637,2,2,2,2,369,3,5,0.0
638,1,1,1,1,867,5,5,13.0
639,1,2,3,1,515,2,2,27.0
640,1,2,3,1,964,1,4,99.0
641,1,2,2,2,762,4,4,0.0
643,1,1,3,2,731,1,5,0.0
644,1,2,3,1,1744,3,2,0.0
645,1,1,3,1,109,3,5,0.0
646,1,1,3,1,2457,4,4,0.0
647,1,1,3,1,2615,3,5,1.0
648,1,1,3,1,783,2,5,111.0
649,1,1,1,1,483,1,5,25.0
650,1,2,2,2,2253,5,3,42.0
651,2,2,3,2,1264,2,3,0.0
652,1,2,2,2,2248,3,3,0.0
653,1,2,2,2,480,4,4,76.0
654,1,1,3,1,290,5,4,0.0
655,1,2,2,2,544,4,4,6.0
656,2,2,2,2,666,2,4,0.0
657,1,1,3,1,299,4,3,0.0
658,2,2,3,2,748,3,3,0.0
659,1,2,1,2,391,5,3,0.0
660,1,1,3,1,612,4,5,5.0
661,1,2,1,1,1598,1,3,0.0
662,2,2,3,1,304,4,5,6.0
663,1,1,1,1,776,4,2,10.0
664,2,2,2,2,411,2,5,0.0
665,1,1,2,2,1325,5,5,226.0
666,1,2,2,2,427,4,4,0.0
667,1,1,3,1,531,2,2,0.0
668,1,2,2,2,1582,2,2,0.0
669,1,2,2,1,2392,2,2,0.0
670,1,2,3,1,399,4,1,0.0
671,1,2,2,1,589,2,2,46.0
672,1,2,2,2,993,4,4,0.0
673,1,2,3,1,192,2,4,0.0
674,1,2,2,1,483,4,4,131.0
675,1,2,2,2,1797,5,5,0.0
676,1,1,3,1,1310,5,4,12.0
677,2,2,2,2,762,4,5,4.0
678,2,2,2,1,2475,4,5,0.0
679,1,1,3,1,808,5,4,0.0
